scenario_id,candidate,audited_run_count,supported_run_count,flagged_insufficient_count,flagged_conflict_count,rejected_count,supported_run_rate,best_record_id,best_model,best_supported_dimension_count,best_weakest_dimension_R,best_max_dimension_conflict_K
all_lenient,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.18,0.0
all_lenient,Fe-Co-Ni-Cu-Zn,5,1,4,0,0,0.2,run_cb003639c449e5af,gpt,4,0.8212500031783623,0.0654675074858116
all_lenient,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_ed4997cc40ec46a3,deepseek,3,0.5226550939333481,0.0
all_lenient,Fe-Co-Ni-Mn-Zn,27,12,15,0,0,0.4444444444444444,run_dfe4e7ab7feb5520,gemini,4,0.8474364,0.0
all_lenient,Fe-Ni-Mn-Cu-Zn,2,1,1,0,0,0.5,run_2360feb965109230,gpt,4,0.5688666484923289,0.0
all_strict,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,0,0.022500000000000003,0.0
all_strict,Fe-Co-Ni-Cu-Zn,5,0,5,0,0,0.0,run_cb003639c449e5af,gpt,1,0.2481643256337041,0.002341198144440568
all_strict,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_e031b877f070eb35,deepseek,1,0.10768365792483035,0.0
all_strict,Fe-Co-Ni-Mn-Zn,27,0,27,0,0,0.0,run_9a1f52cb9067d9cb,gemini,2,0.33700276125,0.0
all_strict,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.09776263859338805,0.0
entailment_strong_discount,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.03,0.0
entailment_strong_discount,Fe-Co-Ni-Cu-Zn,5,0,5,0,0,0.0,run_cb003639c449e5af,gpt,3,0.4041477980066205,0.016784465890674907
entailment_strong_discount,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_e031b877f070eb35,deepseek,1,0.17470778326083666,0.0
entailment_strong_discount,Fe-Co-Ni-Mn-Zn,27,0,27,0,0,0.0,run_b6e86c2e9b7b3255,qwen,3,0.09287054072075122,0.0
entailment_strong_discount,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.16585484928745586,0.0
entailment_weak_discount,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.15,0.0
entailment_weak_discount,Fe-Co-Ni-Cu-Zn,5,1,4,0,0,0.2,run_cb003639c449e5af,gpt,4,0.6781460066743414,0.03231057373575017
entailment_weak_discount,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_4c59c2c3497dce9e,deepseek,2,0.36000000000000004,0.0
entailment_weak_discount,Fe-Co-Ni-Mn-Zn,27,6,21,0,0,0.2222222222222222,run_052fbddb7e7b0390,gpt,4,0.758605,0.10360300693713119
entailment_weak_discount,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.40542565065883807,0.0
gate_lenient,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.09,0.0
gate_lenient,Fe-Co-Ni-Cu-Zn,5,1,4,0,0,0.2,run_cb003639c449e5af,gpt,4,0.5560899230675487,0.02493050156604384
gate_lenient,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_4c59c2c3497dce9e,deepseek,2,0.252,0.0
gate_lenient,Fe-Co-Ni-Mn-Zn,27,4,23,0,0,0.14814814814814814,run_dfe4e7ab7feb5520,gemini,4,0.647744,0.0
