record_id,model,candidate,scenario_id,source_profile,traceability_profile,entailment_profile,gate_profile,combination_rule,max_dimension_conflict_K,weakest_dimension_R,maximum_dimension_U,automatic_label,gate_reason,supported_dimension_count,opposed_dimension_count,conflict_dimension_count,insufficient_dimension_count,human_only_automatic_label,auditor_dependent_dimension_count,auditor_dependency_flag,parameter_stable,nominal_label_agreement_rate
run_f320e51e82599883,deepseek,Fe-Co-Ni-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.2468780459188247,0.7531219540811753,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,yes,1.0
run_e78a48b951b2ee6e,deepseek,Fe-Co-Ni-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.36,0.64,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,0,no,yes,1.0
run_e031b877f070eb35,deepseek,Fe-Co-Ni-Mn-Cu,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.2947682880838254,0.7052317119161747,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
run_ed4997cc40ec46a3,deepseek,Fe-Co-Ni-Mn-Cu,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.29012617345818353,0.7098738265418165,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.252,0.748,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,yes,1.0
run_777dbcb559ff5378,deepseek,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.20861947992649615,0.7913805200735038,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.29019375000000003,0.7098062500000001,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,yes,1.0
run_0b5d48cea00b1796,deepseek,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_910853e06b9095bf,deepseek,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.36980999999999997,0.63019,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,no,0.9090909090909091
run_e7c1abb4133eacd1,deepseek,Fe-Ni-Mn-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
