k1	k2	count
Co	Fe	680
Ni	Fe	431
Ni	Co	352
Fe	Mn	209
Fe	K	188
Fe	Na	140
Cu	Fe	127
Co	Mn	73
Zn	Fe	70
Cu	Co	66
Zn	Co	65
Mn	Na	64
Mn	K	55
Ni	K	41
Co	K	40
Co	Na	36
Fe	V	33
Zn	K	31
Cu	K	30
Ni	Mn	28
Rb	Fe	28
K	Na	28
Mo	Fe	27
Cu	Ni	24
Ni	Na	24
Mo	Co	24
Ni	Cr	23
Ti	Na	23
Ce	Fe	21
Cs	Co	20
Mo	Ni	20
Rb	Mn	17
Cu	Mn	15
Rb	Co	15
Zn	Ni	15
W	V	15
Zn	Mn	14
V	K	14
Pt	Ru	14
Na	Li	14
Zn	Cu	13
Fe	Cr	13
Cs	Fe	13
V	Na	13
Cr	K	13
Zn	Na	13
W	Co	13
Ce	Co	12
Ag	Fe	12
Cd	Zn	11
Co	V	11
Fe	Li	10
Fe	Al	10
Co	Ti	9
Ni	V	9
Cs	Ni	9
Mn	Ti	9
Mo	V	9
Pt	Co	8
Ag	Co	8
Cr	V	8
Cd	Fe	8
Cu	V	8
Zn	V	8
In	Co	8
Bi	Fe	7
W	Fe	7
Fe	Ti	7
La	Fe	7
Cs	Mn	7
Mo	Cu	7
Cd	Co	6
Mn	V	6
Mn	Cr	6
Sn	Co	6
K	Mg	6
Pt	Fe	6
Ru	Ni	6
Nb	Fe	6
Pd	Co	5
Y	Fe	5
Cu	Na	5
Co	Li	5
Sn	In	5
K	Li	5
Ca	Na	5
Ba	Fe	5
W	Na	5
Mg	Na	5
Nd	Fe	5
Pt	Ni	5
Nb	V	5
W	Ni	4
Pt	Ir	4
Ca	K	4
U	Co	4
Cd	Ni	4
W	Cu	4
Ga	Fe	4
Au	Co	4
Pt	V	4
Ru	Ti	4
Pt	Ti	4
Ru	Zr	4
W	Mn	4
Cd	Cu	3
Rb	Ni	3
Rb	Cr	3
Rb	Cu	3
Pd	Fe	3
Co	Cr	3
Fe	Ca	3
Cs	Cr	3
Co	Al	3
Al	Na	3
Fe	Mg	3
Ru	Fe	3
U	Fe	3
Ni	Li	3
Ru	Y	3
Ru	Co	3
Ni	Ti	3
Ba	K	3
Mn	Li	3
Gd	Fe	3
Cu	Ti	3
Ag	Zn	3
U	V	3
Re	V	3
W	Er	3
Er	V	3
W	K	2
Pd	Ni	2
Pt	Mn	2
Au	Ag	2
Sn	Fe	2
Cd	Mn	2
Cs	Ag	2
Rb	V	2
Rb	K	2
Sr	Co	2
Au	Ni	2
Cs	V	2
La	Co	2
Bi	V	2
Cu	Cr	2
Ce	Mn	2
Ce	Ni	2
Bi	Cr	2
Y	Ni	2
U	Zn	2
Au	Pd	2
Zn	Ti	2
Co	Mg	2
Zn	Al	2
Sm	Fe	2
Mo	Mn	2
Cd	Ru	2
Cd	K	2
W	Cd	2
Ag	Mn	2
V	Ti	2
Mg	Li	2
Ca	Al	2
Zr	Ti	2
Pt	Zr	2
Mo	Rb	2
Cs	Na	2
Tb	Cd	2
W	Cs	2
Mo	K	2
Ac	Co	1
Nb	K	1
Nb	Mn	1
Pd	Cu	1
Ac	Na	1
In	Zn	1
Lu	Fe	1
Lu	Co	1
Cu	Al	1
Pt	Ce	1
Ga	Co	1
Ac	Cu	1
Pb	Mn	1
Gd	Co	1
Cs	Cu	1
Ba	Rb	1
Ba	Mn	1
Pt	Cu	1
Au	Fe	1
Ru	Cu	1
Zn	Cr	1
Dy	Fe	1
Dy	Co	1
La	Ni	1
Mo	Zn	1
Pt	Sn	1
Y	Co	1
Re	Ni	1
Au	Cr	1
La	Mn	1
In	Fe	1
In	K	1
Cd	Na	1
Es	K	1
Bi	K	1
Ce	K	1
Es	Ni	1
Zn	Li	1
W	Tb	1
Ac	K	1
Ce	Cs	1
In	Mn	1
Sn	Ga	1
Ga	Zn	1
Sn	Zn	1
Bi	Mo	1
Ru	K	1
W	Ru	1
Au	Lu	1
Au	Mo	1
Lu	La	1
Ru	Mn	1
Bi	W	1
W	Nb	1
Nb	Ti	1
W	Ti	1
Pd	Zn	1
Sn	K	1
Au	Cu	1
Ca	Mg	1
Zn	Ca	1
Al	Mg	1
Zn	Mg	1
K	Al	1
U	K	1
Os	V	1
Mn	Sc	1
Sc	Na	1
Ti	Sc	1
Dy	Ag	1
Au	Dy	1
Yb	Ag	1
Au	Yb	1
Er	Ag	1
Au	Er	1
Sr	Fe	1
Sn	Ca	1
Cs	K	1
Ti	Li	1
Ir	Na	1
Sn	Ni	1
Th	Fe	1
Th	V	1
Nd	K	1
Ti	K	1
Cs	Mo	1
Nb	Ni	1
U	Na	1
Re	K	1
Ru	V	1
