PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ma, WL; Guo, J; Chen, TX; Akram, N; Simayi, R; Wang, JD				Ma, Wenlan; Guo, Jia; Chen, Tingxiang; Akram, Naeem; Simayi, Rena; Wang, Jide			High-Efficiency Bimetallic Catalyst Prepared in Situ from Prussian Blue Analogues for Catalytic Water Oxidation	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH												The synergistic catalysis of bimetallic catalysts is one of the important ways to improve the catalytic performance; therefore, the development of efficient bimetallic water oxidation catalysts (WOCs) has received extensive attention. This work proposed a bimetallic Fe3O4/CuO catalyst prepared in situ from the Cu-Fe Prussian blue analogues precursor, promoting Fe3O4-modified CuO as a highly efficient and stable bimetallic WOC. The Fe3O4/CuO exhibits superior and robust catalytic activity for the oxidation of water. Compared with the reported results, it has a higher O-2 evolution rate of about 4406 mu mol.h(-1).g(-1) and a maximum value for the yield of O-2 as 83.2%, mainly because of the synergetic effect between Fe3O4 and CuO in the complicated water oxidation reaction (WOR) process. We hope this work will be useful for other researchers to design new transition metal bimetallic catalysts for WOR.					Guo, Jia/AGB-9371-2022; Akram, Naeem/A-6678-2018	Akram, Naeem/0000-0003-0349-6235													0888-5885					FEB 27	2019	58	8					2835	2845		10.1021/acs.iecr.8b06007	http://dx.doi.org/10.1021/acs.iecr.8b06007													WOS:000460199800022
J	Ju, H; Tang, QQ; Xu, Y; Bai, XJ; Pu, CJ; Liu, TC; Liu, SX; Zhang, L				Ju, Hui; Tang, Qianqian; Xu, Yong; Bai, Xiaojing; Pu, Chenjin; Liu, Tongchen; Liu, Shuxin; Zhang, Lin			Prussian blue analogue-derived hollow metal oxide heterostructure for high-performance supercapacitors	DALTON TRANSACTIONS												Supercapacitors (SCs) have been the subject of considerable interest because of their distinct advantages. The performance of SCs is directly affected by the electrode materials. Metal oxides derived from Prussian blue analogues (PBAs) are often used as electrode materials for SCs. Herein, we developed a multi-step strategy to fabricate ternary hollow metal oxide (CuO/NiO/Co3O4) heterostructures. The core-shell structured PBA (NiHCC@CuHCC) with Ni-based PBA (NiHCC) as the core and Cu-based PBA (CuHCC) as the shell was prepared by a crystal seed method. The ternary metal oxide (CuO/NiO/Co3O4) with a hollow structure was obtained by calcinating NiHCC@CuHCC. The prepared CuO/NiO/Co3O4 demonstrates an excellent specific capacitance of 262.5 F g(-1) at 1 A g(-1), which is 27.4% and 16.2% higher than those of CuO/Co3O4 and NiO/Co3O4, respectively. In addition, the material showed outstanding cycling stability with a capacitance retention of 107.9% after 3000 cycles. The two-electrode system constructed with CuO/NiO/Co3O4 and nitrogen-doped graphene hydrogel (NDGH) demonstrates a stable and high energy density of 27.1 W h kg(-1) at a power density of 1037.5 W kg(-1). The capacitance retention rate was 100.7% after 4000 cycles. The reason for the excellent electrochemical properties could be the synergistic effect of the introduced heterojunction of CuO/NiO, the hollow structure, and various metal oxides. This strategy can greatly inspire the construction of SC electrodes.																			1477-9226	1477-9234				SEP 19	2023	52	36					12948	12957		10.1039/d3dt01966g	http://dx.doi.org/10.1039/d3dt01966g								37646327					WOS:001427815500001
J	Seok, J; Yu, SH; Abruña, HD				Seok, Jeesoo; Yu, Seung-Ho; Abruna, Hector D.			Operando Synchrotron-Based X-ray Study of Prussian Blue and Its Analogue as Cathode Materials for Sodium-Ion Batteries	JOURNAL OF PHYSICAL CHEMISTRY C												In this study, we employed operando synchrotron-based X-ray techniques to monitor potential-dependent oxidation-state changes of metal components and lattice spacings of Prussian blue (PB) and its analogues as sodium-ion battery materials in real time. Operando X-ray absorption near edge structure measurements revealed that iron is the only redox active component in both PB and its analogue substituted with nickel (PBN). Operando X-ray diffraction measurements revealed that relative to PB, PBN shows better structural stability and rate capability, ascribed to smaller volumetric changes during cycling and state of charge as well as larger diffusion coefficients.					Yu, Seung-Ho/GLR-4572-2022	Yu, Seung-Ho/0000-0003-4833-3181													1932-7447	1932-7455				JUL 30	2020	124	30					16332	16337		10.1021/acs.jpcc.0c05459	http://dx.doi.org/10.1021/acs.jpcc.0c05459													WOS:000558662500011
J	Guo, SY; Wang, H; Tricard, S; Zheng, PZ; Sun, AQ; Fang, J; Zhao, JH				Guo, Shuyue; Wang, Hao; Tricard, Simon; Zheng, Peizhu; Sun, Anqi; Fang, Jian; Zhao, Jihua			Synthesis of Trimetallic Prussian Blue Analogues and Catalytic Application for the Epoxidation of Styrene	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH												A series of trimetallic Prussian blue analogues (PBAs) has been synthesized by adding Fe or Cu to five types of bimetallic PBAs: FeCoPBA, CdCoPBA, CoCoPBA, MnCoPBA, and ZnCoPBA. Such compounds have been characterized by scanning electron microscopy, infrared spectroscopy, and X-ray diffraction measurement. They generally had smaller particle sizes and weaker diffraction peaks than the corresponding bimetallic PBAs. Then, supplementary characterizations on the CuZnCo PBA and CuCdCo PBA showed that the crystallization process, the specific surface area, and the acid sites of the trimetallic PBAs are all different from those of the corresponding bimetallic PBAs. Thermodynamic data obtained by isothermal titration calorimetry indicated that the synthesis of the CuZnCo PBA and CuCdCo PBA is a spontaneous exothermic process with values of enthalpy change in the same range as the corresponding bimetallic PBAs. Such compounds were used as heterogeneous catalysts for the epoxidation of styrene. The results revealed that the catalytic activity of the trimetallic PBA was more efficient than the one of the corresponding bimetallic PBA. Moreover, the experiment of reusability and stability shows that the CuCdCo PBA catalyst is pretty stable.																			0888-5885					JUL 29	2020	59	30					13831	13840		10.1021/acs.iecr.0c01715	http://dx.doi.org/10.1021/acs.iecr.0c01715													WOS:000557853400048
J	Huang, L; Zha, SJ; Yu, HW; He, YW; Li, Y; Shen, YF; Peng, YP; Liu, GX; Fu, YC				Huang, Lin; Zha, Shanjie; Yu, Hongwei; He, Yawen; Li, Yue; Shen, Yafang; Peng, Yaping; Liu, Guangxu; Fu, Yingchun			Chemical and electrochemical conversion of magnetic nanoparticles to Prussian blue for label-free and refreshment-enhanced electrochemical biosensing of enrofloxacin	ANALYTICA CHIMICA ACTA												Magnetic biosensor takes advantage of rapid and facile magnetic separation/collection of targets, however, generally relies on additional signal labels to generate signal in a tedious and high-cost way. Here, we proposed a chemical and electrochemical conversion (C-ECC) method to develop a label-free electrochemical magnetic biosensor to detect antibiotics enrofloxacin (ENR). The C-ECC method integrates the chemical decomposition of magnetic beads (MBs) to release ironic ions and the simultaneous electrochemical deposition of Prussian blue (PB) analogs through the reaction of ironic ions and co-existing K4Fe(CN)6. Unlike conventional method that relies on the physical magnetic property of MBs, the C-ECC method fully exploited the chemical/electrochemical properties of MBs to produce electrochemically active PB to generate signal, thus endowing MBs with dual roles in both sample treatment and signal generation. The incorporation of chemical and electrochemical conversion produced more PB with higher electroactivity when compared with sole chemical or electrochemical conversion. Moreover, an interesting electrochemical refreshment (ER) was designed to remove insulative species on the electrode surface to improve electroactivity of electrode and benefit amperometric detection significantly. Under					Yu, Hongwei/D-1998-2015; zhang, junhao/LDG-6404-2024; Huang, Lin/JKJ-5043-2023	Shen, Yafang/0000-0003-3355-9516													0003-2670	1873-4324				AUG 15	2022	1221								340123	10.1016/j.aca.2022.340123	http://dx.doi.org/10.1016/j.aca.2022.340123		JUL 2022						35934403					WOS:000828161100003
J	Noh, HR; Cho, Y; Lee, DW; Ko, KT; Kim, TH; Youn, YS; Park, J; Lee, J; Bae, SE; Park, JI; Park, TH; Kim, JY; Lim, SH				Noh, Hye Ran; Cho, Youngjin; Lee, Dong Woo; Ko, Kyung-Tae; Kim, Tae-Hyeong; Youn, Young-Sang; Park, Junghwan; Lee, Jeongmook; Bae, Sang-Eun; Park, Jai Il; Park, Tae-Hong; Kim, Jong-Yun; Lim, Sang Ho			Development of magnetic nickel prussian blue analog composites using simple synthesis treatment for efficient cesium removal	JOURNAL OF NUCLEAR MATERIALS												The radioactive cesium species (e.g., Cs-137) in radioactive waste have necessitated the development of strategies for its selective removal from contaminated water. In this study, we synthesized nickel-modified Prussian blue/maghemite (NiPB/gamma-Fe2O3) composite materials exhibiting high selectivity for Cs ions. The composites were synthesized via a facile hydrothermal reaction, and their magnetism was confirmed through an X-ray magnetic circular dichroism measurement. The composites selectively separated Cs from solutions containing alkali and alkaline earth metal cations, with a removal efficiency of >= 99.7 %. The synthesis mechanism involved the hydrothermal reaction, including partial oxidation and subsequent gamma-Fe2O3 formation. The maximum adsorption capacity of the NiPB/gamma-Fe2O3 composites, assuming successful magnetic separation, was determined to be 102 mg g(-1) using the Langmuir adsorption model. The powder X-ray diffraction patterns revealed enhanced crystallinity in the composites compared to NiPB, with a distorted structure framework from face-centered cubic to rhombohedral. XAS spectra showed changes in vibration peaks due to hydrothermal treatment, indicating partial oxidation of Fe(II) to Fe(III). The composites exhibited superparamagnetism, whereas NiPB showed no magnetization. These findings highlight the potential of NiPB/gamma-Fe2O3 composites in environmental remediation and radioactive waste management, providing an effective solution for Cs removal from contaminated systems.					Bae, Sang/F-6200-2013; Lee, Dong/H-2427-2012; Ko, Kyung-Tae/AAA-5417-2022	Bae, Sang-Eun/0000-0003-2668-8950; Noh, Hyeran/0000-0003-0404-2542; Youn, Young-Sang/0000-0003-4201-3152													0022-3115	1873-4820				DEC 1	2024	601								155309	10.1016/j.jnucmat.2024.155309	http://dx.doi.org/10.1016/j.jnucmat.2024.155309		AUG 2024											WOS:001294570900001
J	Hayashi, H; Abe, H				Hayashi, Hisashi; Abe, Hitoshi			X-ray spectroscopic analysis of Liesegang patterns in Mn-Fe-based Prussian blue analogs	JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY												We performed time-resolved X-ray fluorescence (XRF) and position-dependent X-ray absorption near-edge structure (XANES) measurements on gels containing Mn2+ and [Fe(CN)(6)](3-) ions. A sample tube containing an agar gel mixed with 0.20 M MnCl2 solution and a water-glass gel mixed with 0.25 M K-3[Fe(CN)(6)] solution was prepared for these X-ray spectroscopic analyses. Periodic bands that obeyed the empirical scaling laws characteristic of Liesegang bands formed beyond the turbid zone in the water-glass gel. XRF results demonstrated that the turbid zone and the periodic bands contained diffusive Mn and Fe compounds. XANES results indicated that the Fe local structure in the sample tube was nearly independent of positions and was predominantly [Fe(CN)(6)]. In contrast, the Mn local structure depended on the position. FEFF calculations suggested that Mn-Fe-based Prussian blue analogs, of which the most likely local structure is [Mn(NCFe)(3)O3K3], co-existed with [MnO6-nCln] (n = 0, 1) species and that their compositions were position-dependent.					Abe, Hitoshi/AAH-1650-2020; Hayashi, Hisashi/E-5492-2018	Abe, Hitoshi/0000-0001-6970-3642; Hayashi, Hisashi/0000-0002-8504-4066													0267-9477	1364-5544					2016	31	8					1658	1672		10.1039/c6ja00173d	http://dx.doi.org/10.1039/c6ja00173d													WOS:000382074100011
J	Lie, WH; Deng, C; Yang, YW; Tsounis, C; Wu, KH; Hioe, MVC; Bedford, NM; Wang, DW				Hadinata Lie, William; Deng, Chen; Yang, Yuwei; Tsounis, Constantine; Wu, Kuang-Hsu; Chandra Hioe, Maria Veronica; Bedford, Nicholas M.; Wang, Da-Wei			High yield electrooxidation of 5-hydroxymethyl furfural catalysed by unsaturated metal sites in CoFe Prussian Blue Analogue films	GREEN CHEMISTRY												Prussian Blue Analogues (PBAs) are promising electrocatalysts for oxidation reactions due to their binary metal composition and tuneable redox properties. Herein, we report the generation of coordinative unsaturated metal sites in pulse electrodeposited (PED) CoFe PBAs for the oxidation of 5-hydroxymethylfurfural (HMF). The high reactivity by unsaturated metal sites, thoroughly characterized by a suite of spectroscopic techniques, results in a catalyst with superior activity towards the oxidation of HMF to 2,5 furandicarboxylic acid (FDCA).					WANG, DAWEI/E-5074-2010; Chandra-Hioe, Maria/H-4035-2019; Yang, Yu-Wei/GMW-4371-2022; Tsounis, Constantine/HJH-5922-2023; Wu, Kuang-Hsu (Tim)/A-4561-2012; Bedford, Nicholas/X-1144-2018	Hadinata Lie, William/0000-0001-5183-3756; Chandra-Hioe, Maria Veronica/0000-0002-3262-5502; Wu, Kuang-Hsu (Tim)/0000-0002-7670-7948; Bedford, Nicholas/0000-0002-4424-7094; Wang, Da-Wei/0000-0002-6651-4261; Tsounis, Constantine/0000-0003-2365-0981													1463-9262	1463-9270				JUN 21	2021	23	12					4333	4337		10.1039/d1gc01208h	http://dx.doi.org/10.1039/d1gc01208h		MAY 2021											WOS:000660114800001
J	Qi, WT; Zhou, CH; Yang, C; Ling, R				Qi, Wentao; Zhou, Changhong; Yang, Chao; Ling, Rui			Defect-riched prussian blue analogues with superior adsorption-catalysis toward lithium polysulfides for high performance lithium-sulfur batteries	JOURNAL OF ENERGY STORAGE												Lithium-sulfur batteries (Li-S) garner significant interest within the energy storage industry, because of their exceptional theoretical energy density coupled with employment of environmental materials. Nevertheless, the broader implementation of Li-S batteries faces challenges, primarily due to the lithium polysulfide (LiPSs) shuttle effect and the sluggish conversion kinetics associated with LiPSs. In this work, we introduce a reduction- induced dissolution process to fabricate a mesoporous CoFePB rich in crystal defects via a facile solvothermal method. The experimental results indicate that the abundance of crystal defects originate from the phase transition from Co3[FeIII(CN)6]2 to Co2[FeII(CN)6]. The subsequent adsorption tests and electrochemical evaluations have shown that the defect-rich CoFePB possesses enhanced LiPSs absorption capacity and improved cycling performance in contrast to the pristine CoFePB, which is primarily ascribed to proliferation of active sites emerging as a result of the crystal defects. Consequently, the D-CoFePB-S cathode demonstrates remarkable rate performance with 583 mAh g- 1 at a substantial 5C current rate, superior long-term stability with capacity retention of 64.3 % over 2000 cycles at current rate of 2C and outstanding areal capacity of 4.9 mAh cm- 2 at 0.1C, even under a substantial sulfur loading of 5.0 mg cm- 2 .					Zhou, Changhong/L-7556-2019														2352-152X	2352-1538				DEC 20	2024	104		B						114594	10.1016/j.est.2024.114594	http://dx.doi.org/10.1016/j.est.2024.114594		NOV 2024											WOS:001357520500001
J	Dong, YJ; Tian, T; Xu, CJ; Ma, KW; Sun, WJ; Ding, Y				Dong, Yinjuan; Tian, Tian; Xu, Chunjiang; Ma, Kangwei; Sun, Wanjun; Ding, Yong			Cubic Co-Co prussian blue MOF-based transition metal phosphide as an efficient catalyst for visible light-driven water oxidation	JOURNAL OF CATALYSIS												Designing and developing an efficient, economic and stable catalyst for photocatalytic water oxidation is a forefront topic of sustainable energy research. Herein, we rationally designed a CoP/NC (CoP nanoparticles embedded in nitrogen and carbon matrices) nanocube catalysts via a pyrolysis phosphidation strategy derived from Co-Co/PB (Co-Co prussian blue) MOF-based precursor, which was employed as a robust heterogeneous catalyst for photocatalytic water oxidation for the first time. The TEM and SEM tests exhibit that Co-Co/PB contributes to well-defined nanocube architecture features after phosphidation. Furthermore, the photocatalytic performance of CoP/NC nanocube catalyst was examined in photocatalytic water oxidation system using [Ru(bpy)(3)](2+) as photosensitizer and S2O82- as sacrificial electron acceptor. The result shows CoP/NC has a modest high O-2 evolution rate of 901.5 mmol h(-1) g(-1), O-2 yield of 36.1%, TOF of 34.5 x 10(-3) mol(O2) mol(metal)(-1) s(-1), and quantum yield of 61.5%. Noteworthily, an amorphous CoOx layer on CoP/NC surface was observed by HRTEM test after light reaction. The amorphous CoOx layer and CoP form a core-shell structure (CoP@CoOx), which facilitates the electron transport effectively. Additionally, the CoP/NC nanocube catalyst shows good electrocatalytic oxygen evolution performance, which has a higher current density and smaller Tafel slope than CoS2/NC and Co3O4/NC derived from the same precursor of Co-Co/PB with CoP/NC. This strategy of using prussian blue analogue as template to create metal phosphide will provide a platform for exploring highly efficient and stable catalysts for energy conversion reactions. (C) 2019 Elsevier Inc. All rights reserved.					Ding, Yong/AFP-7670-2022; sun, wan-jun/L-1883-2014	, wan-jun/0000-0002-2980-979X; , dingyong/0000-0002-5329-8088													0021-9517	1090-2694				FEB	2020	382						13	21		10.1016/j.jcat.2019.12.009	http://dx.doi.org/10.1016/j.jcat.2019.12.009													WOS:000518874000002
