k1	k2	count
Ni	Co	491
Ni	Fe	332
Mo	Ni	260
Co	Fe	151
Cu	Ni	107
Ni	Mn	107
Mo	Co	83
Cu	Co	68
W	Ni	58
Co	Mn	51
Au	Ti	51
U	V	44
Ni	V	42
Ni	Cr	40
Ce	Ni	39
Cu	Fe	39
Pt	Ni	37
Ni	Al	31
Ce	Cu	31
Fe	Mn	30
Co	Cr	30
Ni	Ti	30
Ce	Zr	30
Mo	Fe	29
Ce	Co	28
Fe	Cr	26
Co	V	25
Zn	Co	25
Ru	Ni	25
V	Ti	25
Zn	Cu	25
Co	Al	24
W	V	23
Cu	Al	23
Cu	Mn	22
Fe	V	22
Zn	Ni	22
W	Co	21
U	W	20
Pd	Ni	20
W	Fe	18
U	Fe	18
La	Ni	17
Ce	Fe	17
Zr	Ni	17
Ru	Ti	17
W	Ti	17
Bi	V	16
Pt	Ti	15
Ru	Co	15
Au	Ce	15
Au	Ir	15
Au	Al	15
Fe	Ti	14
Pt	Ru	14
Zr	Ti	13
Fe	Al	13
Zn	Al	13
Cu	Ti	13
Sn	Ni	12
Ir	Ti	12
Pt	Co	12
Ce	Ti	12
Au	Zn	12
Co	Ti	11
Zn	Fe	11
Mn	K	11
Ce	Al	11
Pt	Ce	11
Bi	Fe	10
W	Cu	10
Sn	In	10
K	Na	10
Mn	V	10
Fe	K	10
Mo	V	9
Sn	Ti	9
Mo	Cu	9
La	Co	9
Cr	V	9
Pt	Ir	9
Ag	Ni	9
Ce	Mn	9
U	Co	9
Mn	Cr	8
Ce	V	8
Ag	Co	8
Au	Fe	8
La	Mn	8
Co	Mg	8
Zr	Cu	8
Zr	Zn	8
Ce	Nb	8
Ce	Zn	8
Al	Mg	8
Pt	Fe	7
U	Ni	7
Cu	V	7
U	Zr	7
Ru	Fe	7
Bi	W	7
Au	Ru	7
U	K	7
W	Ce	7
Ti	Al	7
La	Fe	6
Sn	Co	6
Cs	V	6
U	Ti	6
Ce	Mo	6
Co	K	6
Nb	K	6
Zn	Mn	6
Ir	Ni	6
Ir	Al	6
Ag	Cu	6
Au	Co	6
Ce	Pd	6
Au	Cu	6
Au	Cs	6
W	Ag	6
Ir	Ru	6
Ag	Al	6
Au	Pd	5
Th	Ni	5
Rh	Ni	5
Zr	Fe	5
Ir	Ta	5
Mn	Ti	5
W	Mo	5
Fe	Na	5
Ni	K	5
V	K	5
Pd	Ti	5
U	Cu	5
Au	Rh	5
Pr	Ce	5
Cs	Ni	4
Ni	Na	4
Y	Ni	4
Ir	Sn	4
Sn	Cu	4
Nd	Ni	4
Cu	Cr	4
Pt	Cr	4
Pt	Pd	4
W	Zr	4
Zr	Mn	4
K	Al	4
Au	Pt	4
Nb	Co	4
Au	Ni	4
Nb	Ti	4
Au	La	4
Rh	Ti	4
Au	Zr	4
Zr	Al	4
Ce	Ag	4
Cu	Mg	4
Pd	Cu	4
Pd	Co	4
Ag	Fe	4
Nb	Fe	4
Ca	Al	4
Zn	Ti	4
Bi	Cu	4
