PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Smajlagic, I; Guest, M; Durán, R; Herrera, B; Dudding, T				Smajlagic, Ivor; Guest, Matt; Duran, Rocio; Herrera, Barbara; Dudding, Travis			Mechanistic Insight toward Understanding the Role of Charge in Thiourea Organocatalysis	JOURNAL OF ORGANIC CHEMISTRY												Pyranylation and glycosylation are pivotal for accessing a myriad of natural products, pharmaceuticals, and drug candidates. Catalytic approaches for enabling these transformations are of utmost importance and integral to advancing this area of synthesis. In exploring this chemical space, a combined experimental and computational mechanistic study of pyranylation and 2-deoxygalactosylation catalyzed by a cationic thiourea organocatalyst is reported. To this end, a thiourea-cyclopropenium organocatalyst was employed as a model system in combination with an arsenal of mechanistic techniques, including C-13 kinetic isotope effect experiments, deuterated labeling studies, variable-temperature H-1 NMR spectroscopy, and density functional theory calculations. From these studies, two distinct reaction pathways were identified for this transformation corresponding to either dual hydrogen bond (H-bond) activation or Bronsted acid catalysis. The former involving thiourea orchestrated bifurcated hydrogen bonding proceeded in an asynchronous concerted fashion. In contrast, the latter stepwise mechanism involving Bronsted acid catalysis hinged upon the formation of an oxocarbenium intermediate accompanied by subsequent alcohol addition.					Herrera, Barbara/LKM-3528-2024	Herrera, Barbara/0000-0003-1911-4473; Dudding, Travis/0000-0002-2239-0818													0022-3263	1520-6904				JAN 17	2020	85	2					585	593		10.1021/acs.joc.9b02682	http://dx.doi.org/10.1021/acs.joc.9b02682								31790584					WOS:000508468900027
J	Sun, DL; Peng, L; Yang, YT; Ye, JH; Fang, YX; Jiang, SP; Shao, ZP				Sun, Dalei; Peng, Liang; Yang, Yating; Ye, Jiahui; Fang, Yanxiong; Jiang, San Ping; Shao, Zongping			MnO2 polymorphs for catalytic carboxylation of 1-butanamine by CO2	JOURNAL OF CO2 UTILIZATION												N,N'-dibutylurea is an important fine chemical/intermediate with a wide range of applications. Here, the synthesis of N,N '-dibutylurea through catalytic carbonylation of 1-butanamine by CO2 over MnO2 heterogeneous catalysts was systematically investigated. Four polymorphs of MnO2, including alpha-MnO2, beta-MnO2, delta-MnO2 and gamma-MnO2 with various morphological shapes were synthesized by hydrothermal method through altering the synthesis conditions (raw materials or parameters). Significant impact of the lattice structure of the MnO2 oxides on the catalytic activity was demonstrated. Among them, delta-MnO2 possessed the most favorable catalytic activity with N,N '-dibutylurea yield as high as 85.78 % at 160 degrees C for 24 h in CO2, while it is only 76.70 % for the alpha-MnO2, although they showed the similar specific surface area of around 10 m(2) g(-1). To understand the different catalytic behaviors among the different structured MnO2, the catalysts were characterized by X-ray photoelectron spectroscopy and temperature-programmed desorption of CO2. It was discovered that the excellent performance of delta-MnO2 was ascribed to its high surface basicity from its high concentration of lattice oxygen on surface of MnO2, while the large amount of surface unsaturated coordination manganese also positively affected the catalytic performance of gamma-MnO2. It suggests enhancement of surface basicity and defect concentration is critical for the development of superior MnO2-based catalysts for the green synthesis of N,N '-dibutylurea from catalytic carbonylation of 1-butanamine by CO2.					shao, zongping/B-5250-2013; , San Ping Jiang/M-6967-2017														2212-9820	2212-9839				JUN	2021	48								101525	10.1016/j.jcou.2021.101525	http://dx.doi.org/10.1016/j.jcou.2021.101525		APR 2021											WOS:000663082500004
J	Zhu, XY; Fang, MH; Yang, BZ; Yang, SJ; Li, X; Li, YH; Zhan, ML; Min, X				Zhu, Xinyu; Fang, Minghao; Yang, Bozhi; Yang, Shujie; Li, Xin; Li, Yanghong; Zhan, Meiling; Min, Xin			Ultrafine ruthenium-based nanoclusters regulated by a three-phase heterogeneous interface exhibiting superior mass activity for alkaline hydrogen evolution	ELECTROCHIMICA ACTA												Platinum-based catalysts are considered the most effective catalysts for the hydrogen evolution reaction (HER) in acidic media; however, they exhibit poor performance in alkaline electrolysis waters, which are currently more commercially developed, due to their sluggish water dissociation ability. Small-sized metal Ru nanoparticles, with metal-hydrogen bond strength close to Pt (approximately 65 kcal/mol) and a relatively lower water dissociation barrier, are considered one of the most promising alternatives to the noble metal Pt for alkaline HER. Based on the above statements, the present study innovatively combines the effective strategies of "heterogeneous interface engineering" and "construction of ultrafine active sites" to develop a highly efficient Ru-based catalyst with a three-phase heterogeneous interface, aiming to form its application in alkaline HER. Characterization analysis and DFT calculations demonstrated that the "Rux-Ni(OH)(2)-NiO" three-phase heterogeneous interface constructed around ultrafine Rux clusters effectively modulated the electronic structure of the overall material and optimized the HER kinetic steps. This catalytic material, Rux@NOH/NO, exhibited outstanding electrocatalytic activity in alkaline HER, requiring only 44.2 mV to drive a current density of 10 mA center dot cm(-2), with excellent long-term stability and extremely low active material loading (1.36 wt%-Ru). Specially, its mass activity reached an impressive 18,897.1 A/gRu at 150 mV, which is 10.2 times higher than that of commercial 20wt % Pt/C. In summary, this study synergistically constructs an ultrafine metal ruthenium-based catalyst based on a three-phase heterogeneous interface using a composite strategy, which provides an effective catalyst system for alkaline HER catalytic reactions and holds significance for the rational construction and design of efficient heterogeneous interface electrocatalysts.					Min, Xin/L-8050-2019; Zhu, Xinyu/AAC-5551-2022; Fang, Minghao/M-9048-2013														0013-4686	1873-3859				NOV 20	2024	505								144953	10.1016/j.electacta.2024.144953	http://dx.doi.org/10.1016/j.electacta.2024.144953		SEP 2024											WOS:001308972300001
J	Vera-Estrada, IL; Olivares-Ramírez, JM; Rodríguez-Reséndiz, J; Dector, A; Mendiola-Santibañez, JD; Amaya-Cruz, DM; Sosa-Domínguez, A; Ortega-Díaz, D; Dector, D; Ovando-Medina, VM; Antonio-Carmona, ID				Lucia Vera-Estrada, Irma; Manuel Olivares-Ramirez, Juan; Rodriguez-Resendiz, Juvenal; Dector, Andres; Domingo Mendiola-Santibanez, Jorge; Maria Amaya-Cruz, Diana; Sosa-Dominguez, Adrian; Ortega-Diaz, David; Dector, Diana; Manuel Ovando-Medina, Victor; Dalila Antonio-Carmona, Iveth			Digital Pregnancy Test Powered by an Air-Breathing Paper-Based Microfluidic Fuel Cell Stack Using Human Urine as Fuel	SENSORS												The direct integration of paper-based microfluidic fuel cells (mu FC's) toward creating autonomous lateral flow assays has attracted attention. Here, we show that an air-breathing paper-based mu FC could be used as a power supply in pregnancy tests by oxidizing the human urine used for the diagnosis. We present an air-breathing paper-based mu FC connected to a pregnancy test, and for the first time, as far as we know, it is powered by human urine without needing any external electrolyte. It uses TiO2-Ni as anode and Pt/C as cathode; the performance shows a maximum value of voltage and current and power densities of similar to 0.96 V, 1.00 mA cm(-2), and 0.23 mW cm(-2), respectively. Furthermore, we present a simple design of a paper-based mu FC's stack powered with urine that shows a maximum voltage and maximum current and power densities of similar to 1.89 V, 2.77 mA cm(-2) and 1.38 mW cm(-2), respectively, which powers the display of a pregnancy test allowing to see the analysis results.					Ovando-Medina, Victor/Q-7381-2019; Mendiola, Jorge/AAB-6054-2020; Antonio-Carmona, Iveth/E-1961-2016; Rodriguez-Resendiz, Juvenal/AAA-9293-2020; Ovando-Medina, Victor/C-6507-2008; Ortega Diaz, David/M-7255-2018; Olivares Ramirez, Juan Manuel/S-1067-2018	Mendiola, Jorge/0000-0002-9173-0732; VERA-ESTRADA, IRMA LUCIA/0000-0002-5051-2093; Rodriguez-Resendiz, Juvenal/0000-0001-8598-5600; Ovando-Medina, Victor/0000-0002-5704-5643; DECTOR, DIANA/0000-0002-0673-5644; Amaya Cruz, Diana M/0000-0002-4042-2334; Kurultak, Ilhan/0000-0001-5607-1375; Ortega Diaz, David/0000-0001-9210-7101; Dector, A./0000-0001-6265-0891; Olivares Ramirez, Juan Manuel/0000-0003-2427-6936														1424-8220				SEP	2022	22	17							6641	10.3390/s22176641	http://dx.doi.org/10.3390/s22176641								36081100					WOS:000851906000001
J	Yulianti, RT; Destyorini, F; Irmawati, Y; Priyono, S; Fauzi, MH; Umar, AA; Uyama, H; Fauzia, V; Yudianti, R				Yulianti, Riyani Tri; Destyorini, Fredina; Irmawati, Yuyun; Priyono, Slamet; Fauzi, Mohammad Hamzah; Umar, Akrajas Ali; Uyama, Hiroshi; Fauzia, Vivi; Yudianti, Rike			High capacitance performance of hierarchically SiO2 self-doped porous activated carbon derived from palm empty fruit bunches	JOURNAL OF ENERGY STORAGE												Porous activated carbon derived from empty fruit bunch (EFB) has garnered significant attention as an electrode material for supercapacitors due to its low cost, abundance, and sustainability in real energy storage applications. However, there is still room for improvement in their performance compared to other renewable biomass resources. In our study, we successfully converted EFB biomass into porous activated carbon with outstanding performance, achieving a remarkably high specific capacitance of 459.28 F/g at 0.5 A/g, along with a moderate specific surface area (SSA) of 1215.38 m2/g. Furthermore, the quasi-solid-state supercapacitor assembled from the AC700 sample demonstrated excellent energy density, reaching 15.39 Wh/kg at a power density of 50 W/kg. Additionally, it exhibited remarkable cycling stability, with a capacitance retention of 93 % after 10,000 cycles. These exceptional results were achieved by simply adjusting the activation temperature. We utilized KOH as the activating agent and carbonized it at temperatures of 600 degrees C, 700 degrees C, and 800 degrees C for 2 h under an N2 atmosphere. The superior capacitive performance of the AC700 sample can be attributed to the combined effects of its high SSA, surface functional groups, and optimal pore size distribution. The optimum activation temperature of 700 degrees C resulted in the formation of porous activated carbon with the most structural defects, as well as an appropriate distribution of micropores (63.41 %) and mesopores (31.70 %), facilitating ion diffusion and providing multiple sites for charge storage. Additionally, the AC700 sample exhibited the highest SiO2 content, measuring at 34.33 %, and the lowest contact angle of 75 degrees. The presence of SiO2 in the carbon framework promotes the formation of more hydrophilic active sites, thereby enhancing the pseudocapacitance performance and facilitating sufficient wetting between the electrolyte and electrode interface.					Fauzi, Mohammad/GRX-2806-2022; Yudianti, Rike/HLQ-4141-2023; Umar, Akrajas/E-8696-2015; Fauzia, Vivi/S-1008-2017	Tri Yulianti, Riyani/0000-0003-3032-9483; Destyorini, Fredina/0000-0001-8330-4429													2352-152X	2352-1538				NOV 1	2023	71								108153	10.1016/j.est.2023.108153	http://dx.doi.org/10.1016/j.est.2023.108153		JUN 2023											WOS:001056025800001
J	Nieminen, J; Liukkonen, A; Pihlajamäki, A; Mänttäri, M				Nieminen, Joona; Liukkonen, Alma; Pihlajamaki, Arto; Manttari, Mika			Charge-adhered microfibrillar cellulose multilayer as a flow-modulating membrane coating: Solute separation by shape	CHEMICAL ENGINEERING JOURNAL												Functional microfibrillar cellulose coatings for ultrafiltration membranes were prepared and characterized. For this purpose, a strategy for converting cotton cellulose into microfibres by incubation in a deep eutectic solvent of choline chloride and malonic acid, with no mechanical disintegration step, was created. The microfibres were furthermore modified to possess either cationic or anionic surface charges to allow charge-assisted adhesion of the fibres on ultrafiltration membrane surface. The adhesion was significantly improved by the electrostatic attraction, and it allowed building durable multilayer coatings by Layer-by-Layer methodology for membrane filtration purposes. The polyelectrolyte-inspired Layer-by-Layer strategy for depositing microfibrillar celluloses onto a membrane makes it possible to create coatings out of pure, only slightly derived cellulose, with no need for incorporating hazardous cross-linkers or synthetic polymers into the matrix. The deposited multilayer introduces a shear-force modulating functionality to the membrane which furthermore allows the permeation of molecules that have larger Stokes-Einstein radii than the membrane pore radius. This permeation is selective towards a linear polymer (poly(ethylene glycol)), while a more globular model substance with a similar molar mass (lignin) is highly rejected. The resulting filtration properties can furthermore be easily tuned by controlling the coating thickness.						Nieminen, Joona/0000-0003-4368-9277; Pihlajamaki, Arto/0000-0001-7892-3137													1385-8947	1873-3212				JAN 1	2024	479								147755	10.1016/j.cej.2023.147755	http://dx.doi.org/10.1016/j.cej.2023.147755		DEC 2023											WOS:001140096400001
J	Zhang, QM; Song, CL; Lv, G; Bin, F; Pang, HT; Song, JO				Zhang, Qing-mao; Song, Chong-lin; Lv, Gang; Bin, Feng; Pang, Hua-ting; Song, Jin-ou			Effect of metal oxide partial substitution of V2O5 in V2O5-WO3/TiO2 on selective catalytic reduction of NO with NH3	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY												After partial substitution of V2O5 in V2O5-WO3/TiO2 by metal oxide (MA, M = Fe, Co, Ni, Cu, Sr, La, and Ce), the NO conversions for the MxOy-V2O5-WO3/TiO2 catalysts (M-VW) showed the following sequence: Co-VW > Fe-VW > Sr-VW approximate to Ce-VW approximate to La-VW > VW > Ni-VW > Cu-VW. The reduction activities for almost all the M-VW catalysts were enhanced at reaction temperature >400 degrees C, but only the Co-VW catalyst showed an increased activity at temperature <400 degrees C. Among the M-VW catalysts tested, the Co-VW sample had the highest catalytic activity with a temperature range of 300-550 degrees C for more than 90% NO removal at a GHSV of 60 000 h(-1). Moreover, the Co-VW sample exhibited high space-velocity, H2O and SO2 resistance, and low N2O yield. Co partial substitution for V in the VW led to more Lewis acid sites and Bronsted acid sites, and an obvious increase in the ratio of the adsorbed oxygen to the lattice oxygen from 12.74% for VW to 36.73% for Co-VW. The increased adsorbed oxygen and Lewis and Bronsted acid sites contributed to the improved SCR activity of the Co-VW sample. (C) 2014 The Korean Society of Industrial and Engineering Chemistry. Published by Elsevier B.V. All rights reserved.					Zhang, Yanzhen/L-6446-2018														1226-086X	1876-794X				APR 25	2015	24						79	86		10.1016/j.jiec.2014.09.012	http://dx.doi.org/10.1016/j.jiec.2014.09.012													WOS:000356197000010
J	Liu, YY; Ding, T; Zhao, DY; Gao, ZN; Guo, LH; Tian, Y; Li, XG				Liu Yaoyao; Ding Tong; Zhao Dongyue; Gao Zhongnan; Guo Lihong; Tian Ye; Li Xingang			Effect of Potassium Loading on the NOx Storage and Reduction Performance of the CuO/K2CO3/MgAl2O4 Catalyst at High Temperature	CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE												We designed a new NOx storage and reduction(NSR) CuO/K2CO3/MgAl2O4 catalyst operating at high temperature. The effect of potassium loading on the NOx storage and reduction performance of the catalyst was studied. In the catalyst, the K2CO3 exists as highly dispersed K2CO3 and bulk K2CO3. In the lean. burn period, the nitrates formed on the bulk K2CO3 have high thermal stability at high operating temperature, while the thermal stability of the nitrates formed on the highly dispersed K2CO3 is low. When the K loading is low, the K2CO3 mainly exists as highly dispersed K2CO3, the limited NOx storage capacity and the low thermal stability of the nitrates result in the low NSR activity at high temperature. While too much K2CO3 loaded on the catalyst can decrease the redox ability of CuO by covering it, which will decrease the NSR activity of the catalysts. When the K loading is 10%, the best NSR activity is obtained with the highest NOx reduction percentage of 99. 9% at 450 degrees C. Therefore, the CuO/K2CO3/MgAl2O4 catalyst is a promising high. temperature NSR catalyst.					Zhao, Dongyue/LZI-3810-2025														0251-0790					NOV 10	2017	38	11					2006	2014		10.7503/cjcu20170192	http://dx.doi.org/10.7503/cjcu20170192													WOS:000414964600014
J	Garcia-Mendez, R; Zheng, JX; Bock, DC; Jaye, C; Fischer, DA; Marschilok, AC; Takeuchi, KJ; Takeuchi, ES; Archer, LA				Garcia-Mendez, Regina; Zheng, Jingxu; Bock, David C.; Jaye, Cherno; Fischer, Daniel A.; Marschilok, Amy C.; Takeuchi, Kenneth J.; Takeuchi, Esther S.; Archer, Lynden A.			Understanding the reversible electrodeposition of aluminum in low-cost room-temperature molten salts	CELL REPORTS PHYSICAL SCIENCE												Aluminum is the most earth-abundant metal, trivalent, and inert in ambient air; it also has a density approximately five times that of lithium at room temperature, making it attractive for cost-effective, long-duration storage in batteries. Here, we investigate structural requirements and physicochemical and transport properties of ionic liquid (IL) electrolytes thought to enable high reversibility of Al battery anodes. We find that intentionally designed, low-cost IL analogs, including ammonium-based molten salts, offer comparable Al anode reversibility to state-of-the-art imidazolium-based IL melts. A critical ratio of solvated Al-ion species is required to balance the effects of Lewis acidity needed to continuously etch native Al2O3 and form a stable solid electrolyte interphase on Al. Our findings open new opportunities for developing simple, cost-effective, room-temperature Al batteries that enable long-duration electrical energy storage.					Garcia-Mendez, Regina/P-7295-2019; Marschilok, Amy/D-1821-2014; Takeuchi, Esther/D-1825-2014	Zheng, Kent/0000-0002-0673-0560; Garcia-Mendez, Maria Regina/0000-0002-0980-3673														2666-3864				JUN 21	2023	4	6							101452	10.1016/j.xcrp.2023.101452	http://dx.doi.org/10.1016/j.xcrp.2023.101452		JUN 2023											WOS:001043595700001
J	Cao, M; Liu, LQ; Tang, S; Peng, ZY; Wang, YC				Cao, Ming; Liu, Liqiu; Tang, Shi; Peng, Zhiyuan; Wang, Yingchun			Palladium-Catalyzed Solvent-Controlled Selective Synthesis of Acyl Isoureas and Imides from Amides, Isocyanides, Alcohols and Carboxylates	ADVANCED SYNTHESIS & CATALYSIS												A highly selective synthesis of acyl isoureas and imides from readily accessible amides, isocyanides, alcohols and carboxylates based on reaction solvent selection is described. In the presence of a catalytic amount of [1,1 '-bis(diphenylphosphino)ferrocene]dichloropalladium(II) and cupric acetate, treatment of amides and isocyanides in alcohols at 60 degrees C provided acyl isoureas in high yields. Interestingly, when other solvents such as acetonitrile was used instead of alcohols, imides were exclusively produced in good to excellent yields via direct N-acylation of amides with carboxylates as the acyl sources. This protocol offers an attractive alternative approach toward isoureas and imides.					Tang, Shi/I-9015-2019; Wang, Ying-Chun/JOJ-7821-2023														1615-4150	1615-4169				APR 16	2019	361	8					1887	1895		10.1002/adsc.201801245	http://dx.doi.org/10.1002/adsc.201801245													WOS:000467075800021
